,Province_State,Confirmed,Deaths,Recovered,Lat,Long_
2719,Vermont,79,0,0,44.0459,-72.7107
2720,Virgin Islands,3,0,0,18.3358,-64.8963
2721,Virginia,2284,38,38,37.7693,-78.17
2722,Washington,1061,50,50,47.4009,-121.4905
2723,West Virginia,288,9,9,38.4912,-80.9545
2724,Wisconsin,771,10,10,44.2685,-89.6165
2725,Wyoming,99,0,0,42.756,-107.3025
2726,Alabama,1198,78,78,32.3182,-86.9023
2727,Alaska,217,0,0,61.3707,-152.4044
2728,American Samoa,0,0,0,-14.270999999999999,-170.132
2729,Arizona,1143,213,213,33.7298,-111.4312
2730,Arkansas,253,10,10,34.9697,-92.3731
2731,California,7413,456,456,36.1162,-119.6816
2732,Colorado,1241,26,26,39.0598,-105.3111
2733,Connecticut,547,20,20,41.5978,-72.7554
2734,Delaware,271,1,1,39.3185,-75.5071
2735,Diamond Princess,0,0,0,,
2736,District of Columbia,121,7,7,38.8974,-77.0268
2737,Florida,5117,163,163,27.7663,-81.6868
2738,Georgia,3485,130,130,33.0406,-83.6431
2739,Grand Princess,0,0,0,,
2740,Guam,2,0,0,13.4443,144.7937
2741,Hawaii,98,1,1,21.0943,-157.4983
2742,Idaho,286,9,9,44.2405,-114.4788
2743,Illinois,1967,73,73,40.3495,-88.9861
2744,Indiana,757,31,31,39.8494,-86.2583
2745,Iowa,599,15,15,42.0115,-93.2105
2746,Kansas,31,0,0,38.5266,-96.7265
2747,Kentucky,957,37,37,37.6681,-84.6701
2748,Louisiana,828,15,15,31.1695,-91.8678
2749,Maine,218,1,1,44.6939,-69.3819
2750,Maryland,986,31,31,39.0639,-76.8021
2751,Massachusetts,2040,63,63,42.2302,-71.5301
2752,Michigan,1201,91,91,43.3266,-84.5361
2753,Minnesota,913,14,14,45.6945,-93.9002
2754,Mississippi,134,7,7,32.7416,-89.6787
2755,Missouri,1071,176,176,38.4561,-92.2884
2756,Montana,200,3,3,46.9219,-110.4544
2757,Nebraska,296,7,7,41.1254,-98.2681
2758,Nevada,488,31,31,38.3135,-117.0554
2759,New Hampshire,461,2,2,43.4525,-71.5639
2760,New Jersey,3277,89,89,40.2989,-74.521
2761,New Mexico,407,18,18,34.8405,-106.2485
2762,New York,9582,167,167,42.1657,-74.9481
2763,North Carolina,3916,96,96,35.6301,-79.8064
2764,North Dakota,133,4,4,47.5289,-99.78399999999999
2765,Northern Mariana Islands,0,0,0,15.0979,145.6739
2766,Ohio,2282,39,39,40.3888,-82.7649
2767,Oklahoma,637,23,23,35.5653,-96.9289
2768,Oregon,456,6,6,44.571999999999996,-122.0709
2769,Pennsylvania,3293,98,98,40.5908,-77.2098
2770,Puerto Rico,78,10,10,18.2208,-66.5901
2771,Rhode Island,419,2,2,41.6809,-71.5118
2772,South Carolina,2675,38,38,33.8569,-80.945
2773,South Dakota,186,3,3,44.2998,-99.4388
2774,Tennessee,1057,72,72,35.7478,-86.6923
2775,Texas,2309,134,134,31.0545,-97.5635
2776,Utah,1151,7,7,40.15,-111.8624
2777,Vermont,153,2,2,44.0459,-72.7107
2778,Virgin Islands,13,0,0,18.3358,-64.8963
2779,Virginia,2304,15,15,37.7693,-78.17
2780,Washington,1200,44,44,47.4009,-121.4905
2781,West Virginia,355,11,11,38.4912,-80.9545
2782,Wisconsin,866,18,18,44.2685,-89.6165
2783,Wyoming,81,0,0,42.756,-107.3025
2784,Alabama,847,149,149,32.3182,-86.9023
2785,Alaska,212,1,1,61.3707,-152.4044
2786,American Samoa,0,0,0,-14.270999999999999,-170.132
2787,Arizona,1918,145,145,33.7298,-111.4312
