,Province_State,Confirmed,Deaths,Recovered,Lat,Long_
2084,Washington,775,0,0,47.4009,-121.4905
2085,West Virginia,549,19,19,38.4912,-80.9545
2086,Wisconsin,1114,36,36,44.2685,-89.6165
2087,Wyoming,42,0,0,42.756,-107.3025
2088,Alabama,1112,2,2,32.3182,-86.9023
2089,Alaska,0,0,0,61.3707,-152.4044
2090,American Samoa,0,0,0,-14.270999999999999,-170.132
2091,Arizona,1544,37,37,33.7298,-111.4312
2092,Arkansas,672,15,15,34.9697,-92.3731
2093,California,11539,266,266,36.1162,-119.6816
2094,Colorado,1074,9,9,39.0598,-105.3111
2095,Connecticut,0,0,0,41.5978,-72.7554
2096,Delaware,762,6,6,39.3185,-75.5071
